# stem	genders(m,f,n)	kind — from Monier-Williams (CDSL), see scripts/import-mw.ts
आद्रिसार		adj
आद्वादशम्		ind
आद्वारम्		ind
आधमन	n	noun
आधमर्ण्य	n	noun
आधर		adj
आधर्मिक		adj
आधर्य	n	noun
आधर्ष	m	noun,adj
आधर्षण	n	noun
आधर्षित		adj
आधर्ष्य	n	noun,adj
आधव	m	noun
आधवन	n	noun,adj
आधवनीय	m	noun
आधातव्य		adj
आधातृ	m	noun
आधान	n	noun
आधानकारिका	f	noun
आधानपद्धति	f	noun
आधानविधि	m	noun
आधानिक	n	noun
आधायक		adj
आधायकत्व	n	noun
आधायिता	f	noun
आधायिन्		adj
आधार	m	noun
आधारकारिका	f	noun
आधारचक्र	n	noun
आधारण	n	noun
आधारता	f,n	noun
आधाररूपा	f	noun
आधाराधेयभाव	m	noun
आधारिन्		adj
आधार्य		adj
आधार्ष्ट्य	n	noun
आधाव	m	noun
आधि	m	noun
आधिकरणिक	m	noun
आधिकारिक	m	noun,adj
आधिक्य	n	noun
आधिज		adj
आधिज्ञ		adj
आधिता	f	noun
आधित्सु		adj
आधिदैवत		adj
आधिदैविक		adj
आधिपत्य	n	noun
आधिबन्ध	m	noun
आधिभोग	m	noun
आधिभौतिक		adj
आधिमन्यु	m	noun
आधिम्लान		adj
आधिरथि	m	noun
आधिरथीय	n	noun
आधिराज्य	n	noun
आधिवेदनिक	n	noun,adj
आधिस्तेन	m	noun
आधी	f	noun
आधीकरण	n	noun
आधीकृत		adj
आधीत	n	noun,adj
आधीतयजुस्	n	noun
आधीति	f	noun
आधीपर्ण		adj
आधुत		adj
आधुनिक		adj
आधूत		adj
आधूपन	n	noun
आधूमन	n	noun
आधूमित		adj
आधूम्र		adj
आधृत		adj
आधृषीय		adj
आधृष्ट		adj
आधृष्टि	f	noun
आधेनव	n	noun
आधेय	n	noun,adj
आधोमुख्य	n	noun
आधोरण	m	noun
आध्मात		adj
आध्मान	n	noun
आध्मानी	f	noun
आध्मापन	n	noun
आध्यक्ष्य	n	noun
आध्यश्वि	m	noun
आध्यश्वीय		adj
आध्या	f	noun
आध्यात्मिक	n	noun,adj
आध्यान	n	noun
आध्यापक	m	noun
आध्यायिक	m	noun
आध्यासिक		adj
आध्र		adj
आध्वनिक		adj
आध्वर	m	noun
आध्वरायण	m	noun
आध्वरिक	m	noun,adj
आध्वर्यव	n	noun,adj
आध्वस्त		adj
आन	m	noun
आनक	m	noun,adj
आनकदुन्दुभि	m	noun
आनकस्थलक		adj
आनकस्थली	f	noun
आनडुह	n	noun,adj
आनडुहक		adj
आनडुह्य	m	noun
आनत		adj
आनतज	m	noun
आनति	f	noun
आनद्ध	n	noun,adj
आनद्धत्व	n	noun
आनद्धवस्तिता	f	noun
आनन	n	noun
आननचर		adj
आननान्त	m	noun
आननाब्ज	n	noun
आनन्तर्य	n	noun
आनन्तर्यतृतीया	f	noun
आनन्तर्यसमाधि	m	noun
आनन्त्य	n	noun,adj
आनन्द	m,n	noun
आनन्दक	n	noun,adj
आनन्दकन्द	m	noun
आनन्दकर		adj
आनन्दकलिका	f	noun
आनन्दकाननमाहात्म्य	n	noun
आनन्दकाव्य	n	noun
आनन्दकोश	m	noun
आनन्दगिरि	m	noun
आनन्दघन		adj
आनन्दचतुर्दशीव्रत	n	noun
आनन्दचिद्घन		adj
आनन्दचौल	m	noun
आनन्दज	m,n	noun,adj
आनन्दजल	n	noun
आनन्दज्ञान	m	noun
आनन्दज्ञानगिरि	m	noun
आनन्दता	f	noun
आनन्दताण्डवपुर	n	noun
आनन्दतीर्थ	m	noun
आनन्दथु	m	noun,adj
आनन्दद		adj
आनन्ददत्त	m	noun
आनन्ददीपिका	f	noun
आनन्ददेव	m	noun
आनन्दन	n	noun
आनन्दनाथ	m	noun
आनन्दनिधि	m	noun
आनन्दपट	m	noun
आनन्दपुर	n	noun
आनन्दपूर्ण	m	noun
आनन्दप्रभव	m	noun
आनन्दप्रभा	f	noun
आनन्दबाष्प	m	noun
आनन्दबोधेन्द्र	m	noun
आनन्दभुज्		adj
आनन्दभैरव	m	noun,adj
आनन्दभैरवी	f	noun
आनन्दमय	n	noun,adj
आनन्दमयकोष	m	noun
आनन्दमाला	f	noun
आनन्दयितव्य		adj
आनन्दयितृ	m	noun
आनन्दयोग	m	noun
आनन्दराय	m	noun
आनन्दरूप		adj
आनन्दलहरि	f	noun
आनन्दलहरीस्तोत्र	n	noun
आनन्दवन	m,n	noun
आनन्दवर्धन	m	noun,adj
आनन्दवल्ली	f	noun
आनन्दविमल	m	noun
आनन्दवेद	m	noun
आनन्दसम्भव		adj
आनन्दा	f	noun
आनन्दाचल	m	noun
आनन्दात्मन्	m	noun,adj
आनन्दामृत	n	noun
आनन्दामृतरूप		adj
आनन्दाश्रम	m	noun
आनन्दाश्रु	n	noun
आनन्दि	m	noun
आनन्दित		adj
आनन्दिन्		adj
आनन्दी	f	noun
आनन्देश्वरतीर्थ	n	noun
आनन्दोत्सव	m	noun
आनपत्य		adj
आनभिम्लात	m	noun
आनभिम्लान	m	noun
आनम	m	noun,adj
आनमन	n	noun
आनमित		adj
आनम्य		adj
आनम्र		adj
आनय	m	noun
आनयन	n	noun
आनयितव्य		adj
आनर्त	m,n	noun
आनर्तक		adj
आनर्तन	n	noun
आनर्तपुर	n	noun
आनर्तित		adj
आनर्तीय		adj
आनर्थक्य	n	noun
आनर्दित	n	noun
आनल	n	noun
आनलवि	m	noun
आनव		adj
आनव्य		adj
आनस		adj
आनाकरथवर्त्मन्		adj
आनाथ्य	n	noun
आनाभि		ind
आनामन	n	noun
आनाय	m	noun
आनायिन्	m	noun
आनाय्य	m	noun,adj
आनाह	m	noun
आनाहिक		adj
आनिचेय		adj
आनिञ्ज्य	n	noun
आनिधन	n	noun
आनिधेय		adj
आनिरुद्ध	m	noun
आनिर्हत	m	noun,adj
आनिल	m,n	noun,adj
आनिलि	m	noun
आनिली	f	noun
आनिशम्		ind
आनीकवत		adj
आनीत		adj
आनीति	f	noun
आनील	m	noun,adj
आनीलनिषधायत		adj
आनीली	f	noun
आनु		adj
आनुकल्पिक	n	noun,adj
आनुकूलिक		adj
आनुकूल्य	n	noun
आनुकूल्यतस्		ind
आनुकृष्ट		adj
आनुखड्ग्य		adj
आनुगङ्ग्य		adj
आनुगतिक		adj
आनुगत्य	n	noun
आनुगादिक		adj
आनुगुणिक		adj
आनुगुण्य	n	noun
आनुग्रामिक		adj
आनुचारक		adj
आनुजावर		adj
आनुडुह	n	noun
आनुतिल्य		adj
आनुदृष्टिनेय	f,m	noun
आनुदृष्टेय		adj
आनुदेशिक		adj
आनुनाश्य		adj
आनुनासिक्य	n	noun
आनुपथ्य		adj
आनुपदिक		adj
आनुपद्य		adj
आनुपूर्व्य	n	noun
आनुबन्धिक		adj
आनुमत		adj
आनुमानिक		adj
आनुमानिकत्व	n	noun
आनुमाष्य		adj
आनुयव्य		adj
आनुयाजिक		adj
आनुयात्रिक		adj
आनुयूप्य		adj
आनुरक्ति	f	noun
आनुराहति	f,m	noun
आनुरूप्य	n	noun
आनुरोहति	f,m	noun
आनुरोहिण		adj
आनुलोमिक		adj
आनुलोम्य	n	noun,adj
आनुवंश्य		adj
आनुवासनिक		adj
आनुविधित्सा	f	noun
आनुवेश्य		adj
आनुशातिक		adj
आनुशासनिक		adj
आनुशूक		adj
आनुश्रव		adj
आनुश्रविक		adj
आनुषक्		ind
आनुषङ्गिक		adj
आनुषङ्गिकत्व	n	noun
आनुषण्ड		adj
आनुषूक		adj
आनुष्टुभ		adj
आनुष्टुभौष्णिह		adj
आनुसाय्य		adj
आनुसीत्य		adj
आनुसीर्य		adj
आनुसुक		adj
आनुसूय		adj
आनुसृतिनेय	f,m	noun
आनुसृष्टिनेय	f,m	noun
आनुहारति	f,m	noun
आनूक	n	noun
आनूकम्		ind
आनूप	m,n	noun,adj
आनूपक		adj
आनूपमांस	n	noun
आनृण्य	n	noun
आनृत		adj
आनृतक		adj
आनृतिक		adj
आनृशंस	n	noun
आनृशंसि	f,m	noun
आनृशंसीय		adj
आनृशंस्य	n	noun,adj
आनृशंस्यतस्		ind
आनेतव्य		adj
आनेतृ		adj
आनेमिमग्न		adj
आनेय		adj
आनैपुण	n	noun
आनैश्वर्य	n	noun
आनोभद्रसूक्त	n	noun
आन्त		adj
आन्तःपुरिक	n	noun,adj
आन्तम्		ind
आन्तर	m,n	noun,adj
आन्तरतम्य	n	noun
आन्तरप्रपञ्च	m	noun
आन्तरागारिक	m,n	noun,adj
आन्तरायिक		adj
आन्तराल		adj
आन्तरालिक	m	noun
आन्तरिक्ष	n	noun,adj
आन्तरीपक		adj
आन्तर्गणिक		adj
आन्तर्गेहिक		adj
आन्तर्य	n	noun
आन्तर्वेदिक		adj
आन्तर्वेश्मिक		adj
आन्तिका	f	noun
आन्त्य	m	noun
आन्त्यायन	m	noun
आन्त्र	n	noun
आन्त्रतन्ती	f	noun
आन्त्रपाश	m	noun
आन्त्रानुचारिन्		adj
आन्त्रिक		adj
आन्त्रीमुख	m	noun
आन्द	m	noun
आन्दीड	m	noun
आन्दोल	m	noun
आन्दोलक	m	noun
आन्दोलन	n	noun
आन्दोलिका	f	noun
आन्दोलित		adj
आन्धसिक	m	noun,adj
आन्धास्वर	n	noun
आन्धीगव	n	noun
आन्ध्य	n	noun
आन्ध्र	m	noun,adj
आन्ध्री	f	noun
आन्न		adj
आन्यतरेय	m	noun
आन्यभाव्य	n	noun
आन्वयिक		adj
आन्वाहिक		adj
आन्वीक्षिकी	f	noun
आन्वीपिक		adj
आप	m,n	noun,adj
आपक		adj
आपकर		adj
आपक्व		adj
आपगा	f	noun
आपगेय	m	noun
आपण	m	noun
आपणदेवता	f	noun
आपणवीथिक	m	noun
आपणवेदिका	f	noun
आपणिक	m	noun,adj
आपणीय		adj
आपतन	n	noun
आपति	m	noun
आपतिक	m	noun,adj
आपतित		adj
आपत्कल्प	m	noun
आपत्काल	m	noun
आपत्कालिक		adj
आपत्ति	f	noun
आपत्य		adj
आपत्सहाय	m	noun
आपथि	m	noun
आपथी	f	noun
आपदा	f	noun
आपदिक	m	noun
आपदुद्धरण	n	noun
आपदेव	m	noun
आपदेवी	f	noun
आपद्	f	noun
आपद्गत		adj
आपद्ग्रस्त		adj
आपद्धर्म	m	noun
आपद्विनीत		adj
आपन	n	noun
आपनेय		adj
आपन्न		adj
आपन्नजीविक		adj
आपन्नसत्त्वा	f	noun
आपन्नार्तिप्रशमनफल		adj
आपभट्ट	m	noun
आपमित्यक	n	noun,adj
आपया	f	noun
आपयितृ		adj
आपरपक्षीय		adj
आपराधय्य	n	noun
आपराह्णिक		adj
आपरुष		adj
आपर्तुक		adj
आपल	n	noun
आपव	m	noun
आपवर्गिक		adj
आपवर्ग्य		adj
आपस्	n	noun
आपस्तम्ब	f,m	noun
आपस्तम्बगृह्य	n	noun
आपस्तम्बधर्म	m	noun
आपस्तम्बश्रौत	n	noun
आपस्तम्बसूत्र	n	noun
आपस्तम्बि	m	noun
आपस्तम्बीय		adj
आपस्तम्भ	m	noun
आपस्तम्भिनी	f	noun
आपाक	m	noun
आपाकेस्थ		adj
आपाङ्ग्य	n	noun
आपाटल		adj
आपाटलिपुत्रम्		ind
आपाण्डु		adj
आपाण्डुता	f	noun
आपाण्डुर		adj
आपात	m	noun
आपाततस्		ind
आपातमात्र		adj
आपातलिका	f	noun
आपातिक	m	noun,adj
आपातित		adj
आपातिन्		adj
आपात्य		adj
आपाद	m	noun
आपादक		adj
आपादतलमस्तकम्		ind
आपादन	n	noun
आपादिन्		adj
आपान	n	noun,adj
आपानक	n	noun
आपानगोष्ठी	f	noun
आपानभूमि	f	noun
आपानशाला	f	noun
आपान्तमन्यु		adj
आपायिन्		adj
आपार्ष्णि		ind
आपाल	n	noun
आपालि	m	noun
आपाष्ठि	m	noun
आपि	m	noun,adj
आपिङ्ग		adj
आपिङ्गलक	m	noun
आपिङ्गलाक्ष		adj
आपिञ्जर	n	noun,adj
आपित्व	n	noun
आपिशङ्ग		adj
आपिशर्वर		adj
आपिशल	m	noun,adj
आपिशलि	m	noun
आपी	f	noun,adj
आपीड	m	noun
आपीडकजात		adj
आपीडन	n	noun
आपीडित		adj
आपीडिन्		adj
आपीत	m,n	noun,adj
आपीन	m,n	noun,adj
आपीनवत्		adj
आपूपिक	m,n	noun,adj
आपूप्य	n	noun
आपूयित		adj
आपूर	m	noun
आपूरण	m,n	noun,adj
आपूरित		adj
आपूर्त	n	noun
आपूर्यमाण		adj
आपूर्यमाणपक्ष	m	noun
आपूष	n	noun
आपृक्		ind
आपृच्छा	f	noun
आपृच्छ्य		adj
आपृत		adj
आपृष्ट		adj
आपेक्षिक		adj
आपेक्षिकत्व	n	noun
आपेय	m	noun
आपेयत्व	n	noun
आपोक्लिम	n	noun
आपोद	m	noun
आपोदेवत		adj
आपोदेवत्य		adj
आपोमय		adj
आपोमात्रा	f	noun
आपोमूर्ति	m	noun
आपोशान	n	noun,adj
आपोहिष्ठीय	n	noun,adj
आप्त	m,n	noun,adj
आप्तकाम	m	noun,adj
आप्तकारिन्	m	noun,adj
आप्तकृत्		adj
आप्तक्रिय	m	noun
आप्तगर्भा	f	noun
आप्तगर्व		adj
आप्तच्छन्दस्		adj
आप्तदक्षिण		adj
आप्तभाव	m	noun
आप्तवचन	n	noun
आप्तवज्रसूचि	f	noun
आप्तवर्ग	m	noun
आप्तवाक्य	n	noun
आप्तवाच्	f	noun,adj
आप्तवाद	m	noun
आप्तविभक्तिक		adj
आप्तव्य		adj
आप्तश्रुति	f	noun
आप्तस्तोम		adj
आप्ता	f	noun
आप्ताधीन		adj
आप्ति	f	noun
आप्तोक्ति	f	noun
आप्तोपदेश	m	noun
आप्त्य	m	noun
आप्नवान	m	noun
आप्नान	n	noun
आप्य	m,n	noun,adj
आप्यान	n	noun,adj
आप्याय	m	noun
आप्यायन	n	noun,adj
आप्यायनवत्		adj
आप्यायनशील		adj
आप्यायनी	f	noun
आप्यायित		adj
आप्यायिनी	f	noun
आप्यायिन्		adj
आप्याय्य		adj
आप्येय	m	noun
आप्येयत्व	n	noun
आप्र		adj
आप्रच्छन	n	noun
आप्रतिनिवृत्तगुणोर्मिचक्र		adj
आप्रदिवम्		ind
आप्रपदम्		ind
आप्रपदीन		adj
आप्रपदीनक	n	noun,adj
आप्रवण		adj
आप्रवर्तन	n	noun
आप्रष्टव्य		adj
आप्रावृषम्		ind
आप्रास	m	noun
आप्री	f	noun
आप्रीत		adj
आप्रीतपा	m	noun
आप्रीतिमायव		adj
आप्रीतिमायु	m	noun
आप्लव	m	noun
आप्लवन	n	noun
आप्लवव्रतिन्	m	noun
आप्लाव	m	noun
आप्लावित		adj
आप्लाव्य	n	noun,adj
आप्लुत	m,n	noun,adj
आप्लुतव्रतिन्	m	noun
आप्लुताङ्ग		adj
आप्लुति	f	noun
आप्लुष्ट		adj
आप्वा	m	noun
आप्सर		adj
आप्सरस	n	noun,adj
आप्सव	m	noun
आफलक	m	noun
आफलोदयकर्मन्		adj
आफल्य	n	noun
आफीन	n	noun
आबद्ध	m,n	noun,adj
आबद्धदृष्टि		adj
आबद्धमण्डल		adj
आबद्धमाल		adj
आबद्धाञ्जलि		adj
आबध्	f	noun
आबन्ध	m	noun
आबन्धन	n	noun
आबन्धुर		adj
आबयु	m	noun
आबर्ह	m	noun,adj
आबर्हण	n	noun
आबर्हम्		ind
आबर्हित		adj
आबर्हिन्		adj
आबल्य	n	noun
आबाध	f,m	noun,adj
आबाधा	f	noun
आबालम्		ind
आबाल्यम्		ind
आबिल		adj
आबिलकन्द	m	noun
आबिलम्		ind
आबुत्त	m	noun
आबुध्य	n	noun
आबृढ		adj
आब्दम्		ind
आब्दिक		adj
आब्रवन्ती	f	noun
आब्रह्म		ind
आब्रह्मसभम्		ind
आभग	m	noun
आभङ्गिन्		adj
आभजनीय		adj
आभण्डन	n	noun
आभयजात		adj
आभयजात्य		adj
आभर	n	noun
आभरण	n	noun
आभरणस्थान	n	noun
आभरद्वसव	n	noun
आभरद्वसु	m	noun,adj
आभरित		adj
आभा	f	noun
आभाणक	m	noun
आभात		adj
आभाति	f	noun
आभाष	m	noun
आभाषण	n	noun
आभाषित		adj
आभाष्य		adj
आभास	m	noun,adj
आभासता	f,n	noun
आभासन	n	noun
आभासिन्		adj
आभासुर	m	noun,adj
आभास्वर	m	noun,adj
आभिकामिक		adj
आभिचरणिक		adj
आभिचारिक	n	noun,adj
आभिजन	n	noun,adj
आभिजात्य	n	noun
आभिजित		adj
आभिजित्य		adj
आभिज्ञानिक		adj
आभिधा	f	noun
आभिधातक	n	noun
आभिधानिक	m	noun,adj
आभिधानीयक	n	noun
आभिप्रतारिण	m	noun
आभिप्रायिक		adj
आभिप्लविक	n	noun,adj
आभिमन्यव	m	noun
आभिमानिक		adj
आभिमुख्य	n	noun
आभिमुख्यकरण	n	noun
आभियोगिक		adj
आभिरामिक		adj
आभिरूपक	n	noun
आभिरूप्य	n	noun
आभिशस्य	n	noun
आभिषेक		adj
आभिषेचनिक		adj
आभिहारिक	n	noun,adj
आभीक	n	noun
आभीक्ष्ण	n	noun,adj
आभीक्ष्ण्य	n	noun
आभीर	m	noun,adj
आभीरक	m	noun,adj
आभीरपल्लि	f	noun
आभीरी	f,n	noun
आभील	n	noun,adj
आभीशव	n	noun
आभीशवाद्य	n	noun
आभीषण	n	noun
आभु		adj
आभुग्न		adj
आभुग्नसक्थ		adj
आभू	m	noun,adj
आभूक		adj
आभूत		adj
आभूतसंप्लवम्		ind
आभूति	f,m	noun
आभूमिपाल		adj
आभूषेण्य		adj
आभृत		adj
आभृतात्मन्		adj
आभेरी	f	noun
आभोग	m	noun,adj
आभोगय	m	noun,adj
आभोगि	f	noun
आभोगिन्		adj
आभोजिन्		adj
आभ्यन्तर		adj
आभ्यन्तरनृत्त	n	noun
आभ्यन्तरप्रयत्न	m	noun
आभ्यन्तरम्		ind
आभ्यन्तरिक		adj
आभ्यवकाशिक		adj
आभ्यवहारिक		adj
आभ्यागारिक		adj
आभ्याशिक		adj
आभ्यासिक		adj
आभ्युदयिक	n	noun,adj
आभ्र		adj
आभ्राज	n	noun
आभ्रिक		adj
आभ्र्य	f,m	noun
आम	m,n	noun,adj
आमक		adj
आमकुम्भ	m	noun
आमगन्धि		adj
आमगन्धिक		adj
आमगर्भ	m	noun
आमग्न		adj
आमज्जम्		ind
आमज्वर	m	noun
आमञ्जु		adj
आमण्ड	m,n	noun
आमता	f	noun
आमध्याह्नम्		ind
आमन	n	noun
आमनस्		adj
आमनस्य	n	noun
आमनहोम	m	noun
आमन्त्रण	n	noun
आमन्त्रणा	f	noun
आमन्त्रणिक	n	noun
आमन्त्रणीय		adj
आमन्त्रयितव्य		adj
आमन्त्रयितृ	m	noun,adj
आमन्त्रित	n	noun,adj
आमन्त्र्य		adj
आमन्द्र		adj
आमपाक	m	noun
आमपाचिन्		adj
आमपात्र	n	noun
आमपीनस	m	noun
आमपेष	m	noun
आमभृष्ट		adj
आममय		adj
आममांस	n	noun
आममांसाशिन्	m	noun
आमय	m,n	noun
आमयावित्व	n	noun
आमयाविन्		adj
आमरक्त	m	noun
आमरणम्		ind
आमरणान्त		adj
आमरस	m	noun
आमराक्षसी	f	noun
आमरीतृ	m	noun
आमर्द	m	noun
आमर्दक	m	noun
आमर्दकतीर्थनाथ	m	noun
आमर्दिन्		adj
आमर्श	m	noun
आमर्शन	n	noun
आमर्ष	m	noun
आमर्षण	n	noun
आमलक	f,m,n	noun
आमलकीपत्त्र	n	noun
आमलकीपत्त्रफल	n	noun
आमवात	m	noun
आमविधि	m	noun
आमशूल	n	noun
आमश्राद्ध	n	noun
आमहीयव	m,n	noun
आमहीया	f	noun
आमाजीर्ण	n	noun
आमातिसार	m	noun
आमातिसारिन्		adj
आमात्य	m	noun
आमाद्		adj
आमाद्य	n	noun
आमान्न	n	noun
आमावास्य	n	noun,adj
आमावास्यविध		adj
आमाशय	m	noun
आमिक्षवत्		adj
आमिक्षा	f	noun
आमिक्षापयस्य	n	noun
आमिक्षीय		adj
आमितौजि	m	noun
आमित्र		adj
आमित्रशोचनि	m	noun
आमित्रायण	m	noun
आमित्रीय		adj
आमिश्र		adj
आमिश्रत्व	n	noun
आमिश्रीभूत		adj
आमिश्रीभूतत्व	n	noun
आमिश्ल		adj
आमिश्लतम		adj
आमिष	n	noun
आमिषता	f,n	noun
आमिषदान	n	noun
आमिषप्रिय	m	noun,adj
आमिषभुज्		adj
आमिषाशिन्		adj
आमिषी	f	noun
आमिस्	n	noun
आमीक्षा	f	noun
आमीलन	n	noun
आमीवत्क		adj
आमीवा	f	noun
आमीवित		adj
आमुकुलित		adj
आमुक्त	n	noun,adj
आमुक्ता	f	noun
आमुक्ति	f	noun
आमुख	n	noun,adj
आमुखम्		ind
आमुप	m	noun
आमुर्	m	noun
आमुष्मिक		adj
आमुष्मिकत्व	n	noun
आमुष्यकुलिका	f	noun
आमुष्यपुत्रिका	f	noun
आमुष्यायण	m	noun,adj
आमूर्तरयस	m	noun
आमूर्धान्तम्		ind
आमूलम्		ind
आमृण		adj
आमृत		adj
आमृष्ट		adj
आमेखलम्		ind
आमेन्य		adj
आमेष्टक		adj
आमोक	m	noun
आमोक्षण	n	noun
आमोचन	n	noun
आमोटन	n	noun
आमोद	m	noun,adj
आमोदजननी	f	noun
आमोदन	n	noun
आमोदित		adj
आमोदिन्	m	noun,adj
आमोष	m	noun
आमोषिन्		adj
आमोहनिका	f	noun
आम्		ind
आम्नात		adj
आम्नातव्य		adj
आम्नातिन्	m	noun
आम्नान	n	noun
आम्नाय	m	noun
आम्नायपर		adj
आम्नाययोनि	m	noun
आम्नायरहस्य	n	noun
आम्नायसारिन्		adj
आम्नायिन्	m	noun
आम्ब	m	noun
आम्बरीषपुत्रक		adj
आम्बष्ठ	m	noun
आम्बष्ठ्य	m	noun
आम्बष्ठ्या	f	noun
आम्बिकेय	m	noun
आम्बुद		adj
आम्भस		adj
आम्भसिक	m	noun,adj
आम्भि		adj
आम्भृणी	f	noun
आम्र	m,n	noun
आम्रकवि	m	noun
आम्रकूट	m	noun
आम्रगन्धक	m	noun
आम्रगन्धिहरिद्रा	f	noun
आम्रगुप्त	m	noun
आम्रगुप्तायनि	m	noun
आम्रगुप्ति	m	noun
आम्रतैल	n	noun
आम्रनिशा	f	noun
आम्रपञ्चम	m	noun
आम्रपाल	m	noun
आम्रपाली	f	noun
आम्रपेशी	f	noun
आम्रप्रसाद	m	noun
आम्रफलप्रपानक	n	noun
आम्रमय		adj
आम्रवण	n	noun
आम्रवाट	m	noun
आम्रात	m	noun
आम्रातक	m	noun
आम्रातकी	f	noun
आम्रातकेश्वर	n	noun
आम्रावती	f	noun
आम्रावर्त	m	noun
आम्रास्थि	n	noun
आम्रिन्		adj
आम्रिमन्	m	noun
आम्रेड	m	noun
आम्रेडन	n	noun
आम्रेडित	n	noun,adj
आम्रेडितयमक	n	noun
आम्र्य	n	noun
आम्ल	f,m,n	noun
आम्लवल्ली	f	noun
आम्लवेतस	m	noun
आम्लान		adj
आम्लिका	f	noun
आम्लोचन्ती	f	noun
आय	m	noun
आयःशूलिक		adj
आयःस्थूण	m	noun
आयक		adj
आयजि		adj
आयजिष्ठ		adj
आयजीयस्		adj
आयज्यु		adj
आयत	m	noun,adj
आयतचतुरस्र	m	noun,adj
आयतच्छदा	f	noun
आयतदीर्घचतुरस्र	m	noun
आयतन	n	noun
आयतनत्व	n	noun
आयतनवत्	m	noun,adj
आयतपक्ष्मल		adj
आयतपाणिलेखता	f	noun
आयतपार्ष्णिता	f	noun
आयतभ्रूकता	f	noun
आयतम्		ind
आयतया		ind
आयतविक्रम		adj
आयतसमलम्ब		adj
आयतस्तू	m	noun
आयता	f	noun
आयताक्ष		adj
आयतापाङ्ग		adj
आयतायति	f	noun
आयतार्ध	m	noun
आयति	f	noun
आयतिक्षम		adj
आयतिमत्		adj
आयती	f	noun
आयतीगवम्		ind
आयतीसमम्		ind
आयतेक्षण		adj
आयत्		adj
आयत्त		adj
आयत्तता	f,n	noun
आयत्तमूल		adj
आयत्ति	f	noun
आयथातथ्य	n	noun
आयथापुर्य	n	noun
आयथापूर्व्य	n	noun
आयदर्शिन्		adj
आयद्वसु		adj
आयद्वार	n	noun
आयन	n	noun,adj
आयन्तृ	m	noun
आयमन	n	noun
आयम्य		adj
आयल्लक	n	noun
आयव	n	noun
आयवन	n	noun
आयवन्	m	noun
आयवस	m	noun
आयवस्	n	noun
आयव्यय	n	noun
आयस	n	noun,adj
आयसमय		adj
आयसी	f	noun
आयसीय		adj
आयस्कार	m	noun
आयस्कारि	m	noun
आयस्त	n	noun,adj
आयस्थान	n	noun
आयाग	m	noun
आयागभूत		adj
आयाचन	n	noun
आयाचित	n	noun,adj
आयात	n	noun,adj
आयाति	f,m	noun
आयान	n	noun
आयापन	n	noun
आयापित		adj
आयाम	m	noun
आयामतस्		ind
आयामवत्		adj
आयामित		adj
आयामिन्		adj
आयास	m	noun
आयासक		adj
आयासदायिन्		adj
आयासन	n	noun
आयासित	n	noun
आयासिन्		adj
आयास्य	n	noun
आयिन्		adj
आयु	m,n	noun,adj
आयुःपति		adj
आयुःशेष	m	noun,adj
आयुःशेषता	f	noun
आयुःष्टोम	m	noun
आयुकृत्		adj
आयुक्त	m	noun,adj
आयुक्तक	m	noun
आयुक्ता	f	noun
आयुक्तिन्		adj
आयुज्		adj
आयुत	n	noun,adj
आयुध	n	noun
आयुधजीविन्	m	noun,adj
आयुधधर्मिणी	f	noun
आयुधपाल	m	noun
आयुधपिशाचिका	f	noun
आयुधभृत्	m	noun,adj
आयुधशाला	f	noun
आयुधसहाय		adj
आयुधसाह्वय	m	noun
आयुधागार	n	noun
आयुधागारनर	m	noun
आयुधागारिक	m	noun
आयुधिक	m,n	noun,adj
आयुधिन्	m	noun
आयुधीय	m	noun,adj
आयुपत्नी	f	noun
आयुर्ज्ञान	n	noun
आयुर्दद्		adj
आयुर्दाय	m	noun
आयुर्द्रव्य	n	noun
आयुर्महोदधि	m	noun
आयुर्युध्		adj
आयुर्योग	m	noun
आयुर्वेद	m	noun
आयुर्वेददृश्	m	noun
आयुर्वेदमय		adj
आयुर्वेदरसायन	n	noun
आयुर्वेदसर्वस्व	n	noun
आयुर्वेदसौख्य	n	noun
आयुर्वेदिक	m	noun
आयुर्वेदिन्	m	noun
आयुर्हृत्		adj
आयुष	n	noun
आयुषक्		ind
आयुष्क	n	noun
आयुष्कर		adj
आयुष्काम		adj
आयुष्कारण	n	noun
आयुष्कृत्		adj
आयुष्टोम	m	noun
आयुष्पति		adj
आयुष्पा		adj
आयुष्प्रतरण		adj
आयुष्मत्	m	noun,adj
आयुष्मत्पुरुषक		adj
आयुष्य	n	noun,adj
आयुष्यगण	m	noun
आयुष्यवत्		adj
आयुष्यहोम	m	noun
आयुस्	m,n	noun
आयुस्तेजस्	m	noun
आयोग	m	noun
आयोगव	m	noun
आयोगवी	f	noun
आयोजन	n	noun
आयोजनम्		ind
आयोजित		adj
आयोद	m	noun
आयोधन	n	noun
आयोधित		adj
आयोध्यक		adj
आयोध्यिक		adj
आर	m,n	noun
आरकात्		ind
आरकूट	m	noun
आरक्त	n	noun,adj
आरक्तपुष्पी	f	noun
आरक्ष	m	noun,adj
आरक्षक	m	noun,adj
आरक्षा	f	noun
आरक्षित		adj
आरक्षिन्		adj
आरक्ष्य		adj
आरग्वध	m,n	noun
आरङ्गर	m	noun
आरचित		adj
आरट	m	noun,adj
आरटि	f	noun
आरटित	n	noun
आरट्ट	m	noun,adj
आरट्टक		adj
आरट्टज		adj
आरडव		adj
आरण	n	noun
आरणज	m	noun
आरणि	m	noun
आरणेय	m,n	noun,adj
आरणेयपर्वन्	n	noun
