# stem	genders(m,f,n)	kind — from Monier-Williams (CDSL), see scripts/import-mw.ts
अकृष्णकर्मन्		adj
अकेतन		adj
अकेतु		adj
अकेश		adj
अकोट	m	noun
अकोप	m	noun
अकोपन		adj
अकोप्य		adj
अकोविद		adj
अकौशल	n	noun
अक्का	f	noun
अक्कादेवी	f	noun
अक्त	n	noun,adj
अक्ता	f	noun
अक्ति	f	noun
अक्तु	m	noun
अक्तुभिस्		ind
अक्तोस्		ind
अक्नोपन		adj
अक्र	m	noun,adj
अक्रतु		adj
अक्रन्दित		adj
अक्रम	m	noun,adj
अक्रमम्		ind
अक्रमशस्		ind
अक्रमोढा	f	noun
अक्रविहस्त		adj
अक्रव्याद		adj
अक्रव्याद्		adj
अक्रान्त		adj
अक्रान्ता	f	noun
अक्रिय		adj
अक्रिया	f	noun
अक्रीडत्		adj
अक्रीत		adj
अक्रुध्यत्		adj
अक्रूर	m	noun,adj
अक्रोध	m	noun,adj
अक्रोधन	m	noun,adj
अक्रोधमय		adj
अक्लम	m	noun
अक्लिका	f	noun
अक्लिन्नवर्त्मन्	n	noun
अक्लिष्ट		adj
अक्लिष्टकर्मन्		adj
अक्लिष्टव्रत		adj
अक्लीब		adj
अक्लेद्य		adj
अक्लेश	m	noun
अक्ष	m,n	noun
अक्षक	m,n	noun
अक्षकर्ण	m	noun
अक्षकाम		adj
अक्षकितव	m	noun
अक्षकी	f	noun
अक्षकुशल		adj
अक्षक्षपण	m	noun
अक्षग्लह	m	noun
अक्षचरण	m	noun
अक्षज	m	noun
अक्षण		adj
अक्षण्वत्		adj
अक्षत	m,n	noun,adj
अक्षतत्त्व	n	noun
अक्षतत्त्वविद्		adj
अक्षतयोनि	f	noun
अक्षता	f	noun
अक्षतामय	m	noun
अक्षत्र		adj
अक्षदर्शक	m	noun
अक्षदाय	m	noun
अक्षदृक्कर्मन्	n	noun
अक्षदेवन	n	noun
अक्षदेविन्	m	noun
अक्षद्यूत	n	noun
अक्षद्रुग्ध		adj
अक्षद्वार	n	noun
अक्षधर	m	noun,adj
अक्षधर्म	m	noun
अक्षधुरा	f	noun
अक्षधुर्	f	noun
अक्षधूर्त	m	noun
अक्षधूर्तिल	m	noun
अक्षनैपुण	n	noun
अक्षन्	n	noun
अक्षपटल	n	noun
अक्षपराजय	m	noun
अक्षपरि		ind
अक्षपाट	m	noun
अक्षपाटक	m	noun
अक्षपात	m	noun
अक्षपातन	n	noun
अक्षपीड	m	noun
अक्षपीडा	f	noun
अक्षप्रपातन	n	noun
अक्षप्रिय		adj
अक्षभा	f	noun
अक्षभाग	m	noun
अक्षभार	m	noun
अक्षभूमि	f	noun
अक्षम		adj
अक्षमता	f	noun
अक्षमद	m	noun
अक्षमा	f	noun
अक्षमात्र	n	noun
अक्षमाला	f	noun
अक्षमालिका	f	noun
अक्षमालिन्		adj
अक्षमिन्		adj
अक्षय	m	noun,adj
अक्षयगुण	m	noun,adj
अक्षयता	f,n	noun
अक्षयतृतीया	f	noun
अक्षयनीवी	f	noun
अक्षयपुरुहूत	m	noun
अक्षयमति	m	noun
अक्षयलोक	m	noun
अक्षयवट	m	noun
अक्षया	f	noun
अक्षयिणी	f	noun
अक्षयिन्		adj
अक्षय्य	n	noun,adj
अक्षय्यनवमी	f	noun
अक्षय्यम्		ind
अक्षय्योदक	n	noun
अक्षर	m,n	noun,adj
अक्षरक	n	noun
अक्षरकर	m	noun
अक्षरचञ्चु	m	noun
अक्षरच्युतक	n	noun
अक्षरछन्दस्	n	noun
अक्षरजननी	f	noun
अक्षरजीवक	m	noun
अक्षरतूलिका	f	noun
अक्षरन्यास	m	noun
अक्षरपङ्क्ति	f	noun,adj
अक्षरभाज्		adj
अक्षरमुख	m	noun
अक्षरमुष्टिका	f	noun
अक्षरवत्		adj
अक्षरशस्		ind
अक्षरशिक्षा	f	noun
अक्षरशून्य		adj
अक्षरसंस्थान	n	noun
अक्षरसंहिता	f	noun
अक्षरसधातु	n	noun
अक्षरसमाम्नाय	m	noun
अक्षरसम्पद्	f	noun
अक्षरा	f	noun
अक्षराक्षर	m	noun
अक्षराङ्ग	n	noun
अक्षराज	m	noun
अक्षरान्तर	n	noun
अक्षरेस्था		adj
अक्षर्य		adj
अक्षर्यंरेवत्	n	noun
अक्षवती	f	noun
अक्षवत्		adj
अक्षवाम	m	noun
अक्षविद्		adj
अक्षवृत्त		adj
अक्षशब्द	m	noun
अक्षशिक्षा	f	noun
अक्षशील		adj
अक्षशौण्ड		adj
अक्षसङ्गम्		ind
अक्षसूक्त	n	noun
अक्षसूत्र	n	noun
अक्षसूत्रवलयिन्		adj
अक्षस्तुष	m	noun
अक्षहृदय	n	noun
अक्षहृदयज्ञ		adj
अक्षांस	m	noun
अक्षाग्र	n	noun
अक्षाग्रकील	m	noun
अक्षातिवाप	m	noun
अक्षानह्		adj
अक्षान्त		adj
अक्षान्ति	f	noun
अक्षार		adj
अक्षारमद्यमांसाद		adj
अक्षारलवण	n	noun,adj
अक्षारलवणाशिन्		adj
अक्षावपन	n	noun
अक्षावली	f	noun
अक्षावाप	m	noun
अक्षि	n	noun
अक्षिक	m	noun
अक्षिकूट	n	noun
अक्षिगत		adj
अक्षिगोल	m	noun
अक्षिजाह	n	noun
अक्षिणी	f	noun
अक्षिण्वत्		adj
अक्षित	n	noun,adj
अक्षितव्य		adj
अक्षितारा	f	noun
अक्षितावसु	m	noun
अक्षिति	f	noun,adj
अक्षितोति	m	noun
अक्षित्		adj
अक्षिनिकाणम्		ind
अक्षिनिमेष	m	noun
अक्षिपक्ष्मन्	n	noun
अक्षिपटल	n	noun
अक्षिपत्		ind
अक्षिपाक	m	noun
अक्षिब	m	noun
अक्षिबन्ध	m	noun
अक्षिभू		adj
अक्षिभेषज	m,n	noun
अक्षिभ्रुव	n	noun
अक्षिमत्		adj
अक्षियत्		adj
अक्षिलोमन्	n	noun
अक्षिविकूणित	n	noun
अक्षिसंतर्जन	n	noun
अक्षिसंस्कार	m	noun
अक्षीक	m	noun
अक्षीण		adj
अक्षीब	m,n	noun,adj
अक्षीयमाण		adj
अक्षु	m	noun
अक्षुण्ण		adj
अक्षुण्णता	f	noun
अक्षुद्र		adj
अक्षुध्	f	noun
अक्षुध्य		adj
अक्षेत्र	n	noun,adj
अक्षेत्रिन्		adj
अक्षैत्रज्ञ्य	n	noun
अक्षोट	m	noun
अक्षोड	m	noun
अक्षोडक	m	noun
अक्षोधुक		adj
अक्षोभ	m,n	noun,adj
अक्षोभ्य	m	noun,adj
अक्षोभ्यतीर्थ	m	noun
अक्षोभ्या	f	noun
अक्षौहिणी	f	noun
अक्ष्ण	n	noun
अक्ष्णया		ind
अक्ष्णयाकृत		adj
अक्ष्णयादेश	m	noun
अक्ष्णयाद्रुह्		adj
अक्ष्णयापच्छेदन	n	noun
अक्ष्णयारज्जु	f	noun
अक्ष्णयावन्		adj
अक्ष्णयास्तोमीया	f	noun
अक्ष्यामय	m	noun
अक्ष्यामयिन्		adj
अखट्ट	m	noun
अखट्टि	m	noun
अखण्ड	n	noun,adj
अखण्डकल		adj
अखण्डन	m,n	noun
अखण्डमण्डल		adj
अखण्डित		adj
अखण्डितर्तु		adj
अखण्डोपधि	m	noun
अखनत्		adj
अखर्व		adj
अखर्वन्		adj
अखर्वा	f	noun
अखात	m,n	noun,adj
अखाद्य		adj
अखिद्र		adj
अखिद्रयामन्		adj
अखिन्न		adj
अखिल		adj
अखिलात्मन्	m	noun
अखिलेन		ind
अखेटिक	m	noun
अखेदित्व	n	noun
अखेदिन्		adj
अख्खल		ind
अख्यात		adj
अख्याति	f	noun
अख्यातिकर		adj
अग	m	noun,adj
अगच्छ	m	noun,adj
अगज	n	noun,adj
अगजा	f	noun
अगणित		adj
अगणितप्रतियात		adj
अगणितलज्ज		adj
अगत	n	noun,adj
अगतासु		adj
अगति	f	noun,adj
अगतिक		adj
अगतिकगति	f	noun
अगतीक		adj
अगत्या		ind
अगद	m	noun,adj
अगदंकार	m	noun
अगदवेद	m	noun
अगदित		adj
अगन्ध		adj
अगन्धसेविन्		adj
अगन्धि		adj
अगम	m	noun,adj
अगम्य		adj
अगम्यगा	f	noun
अगम्यरूप		adj
अगम्या	f	noun
अगम्यागमन	n	noun
अगम्यागमनीय		adj
अगम्यागामिन्		adj
अगरी	f	noun
अगरु	m,n	noun
अगर्तमित्		adj
अगर्तस्कन्द्य		adj
अगर्भ		adj
अगर्भा	f	noun
अगर्व		adj
अगर्हित		adj
अगव्यूति		adj
अगस्ति	m	noun
अगस्तिद्रु	f	noun
अगस्ती	f	noun
अगस्तीय		adj
अगस्त्य	m	noun
अगस्त्यगीता	f	noun
अगस्त्यगृहस्पतिक		adj
अगस्त्यचार	m	noun
अगस्त्यमार्ग	m	noun
अगस्त्यशास्त	f	noun,adj
अगस्त्यसंहिता	f	noun
अगस्त्योदय	m	noun
अगा	f,m	noun
अगातृ	m	noun
अगात्मजा	f	noun
अगाध	m	noun,adj
अगाधजल	n	noun,adj
अगाधरुधिर	n	noun
अगाधित्व	n	noun
अगार	n	noun
अगारदाहिन्	m	noun
अगारविनोद	m	noun
अगारस्तूप	m	noun
अगारस्थूणाविरोहण	n	noun
अगारावकाश	m	noun
अगारिन्	m	noun,adj
अगालित		adj
अगावह	m	noun
अगिर	m	noun
अगिरौकस्		adj
अगीत		adj
अगु	m	noun,adj
अगुण	m	noun,adj
अगुणता	f,n	noun
अगुणवत्		adj
अगुणवादिन्		adj
अगुणशील		adj
अगुणिन्		adj
अगुप्त		adj
अगुरु	m,n	noun,adj
अगूढ		adj
अगूढगन्ध	n	noun
अगूढभाव		adj
अगृभीत		adj
अगृभीतशोचिस्		adj
अगृह		adj
अगृहता	f	noun
अगृहीत		adj
अगृहीतदिश्		adj
अगृह्णत्		adj
अगृह्य		adj
अगो	f	noun
अगोःप्रापणम्		ind
अगोचर	m,n	noun,adj
अगोचरेण		ind
अगोता	f	noun
अगोपा		adj
अगोरुध		adj
अगोह्य		adj
अगौकस्	m	noun
अग्धाद्		adj
अग्नामरुतौ	m	noun
अग्नायी	f	noun
अग्नाविष्णू	m	noun
अग्नि	m	noun
अग्निक	m,n	noun
अग्निकण	m	noun
अग्निकर्मन्	n	noun
अग्निकल्प		adj
अग्निकारिका	f,n	noun
अग्निकाष्ठ	n	noun
अग्निकुक्कुट	m	noun
अग्निकुण्ड	n	noun
अग्निकुमार	m	noun
अग्निकृत		adj
अग्निकेतु	m	noun,adj
अग्निकोण	m	noun
अग्निक्रीडा	f	noun
अग्निक्षेत्र	n	noun
अग्निखदा	f	noun
अग्निगर्भ	m	noun,adj
अग्निगर्भा	f	noun
अग्निगृह	n	noun
अग्निगोदान	m	noun
अग्निग्रन्थ	m	noun
अग्निघट	m	noun
अग्निचक्र	n	noun
अग्निचय	f,m,n	noun
अग्निचित्		adj
अग्निचित्वत्		adj
अग्निज	m	noun,adj
अग्निजन्मन्	m	noun
अग्निजा	f	noun
अग्निजार	m	noun
अग्निजिह्व		adj
अग्निजिह्वा	f	noun
अग्निज्येष्ठ		adj
अग्निज्योतिस्		adj
अग्निज्वलिततेजन		adj
